股票代码,报告日期,分类类型,主营构成,主营收入,收入比例,主营成本,成本比例,主营利润,利润比例,毛利率
002466,2015-06-30,按产品分类,锂化工产品及其他,328709770.59,0.434995,216803132.33,0.545047,111906638.26,0.312681,0.340442
002466,2015-06-30,按产品分类,其他(补充),8561382.67,0.01133,847609.62,0.002131,7713773.05,0.021553,0.900996
002466,2015-06-30,按地区分类,国内,596179968.46,0.788949,328309706.44,0.825377,267870262.02,0.748463,0.449311
002466,2015-06-30,按地区分类,国外,150921952.41,0.199721,68612141.71,0.172492,82309810.7,0.229984,0.54538
002466,2015-06-30,按地区分类,其他(补充),8561382.67,0.01133,847609.62,0.002131,7713773.05,0.021553,0.900996
002466,2014-12-31,,采选冶炼行业,920229042.32,0.646962,530529098.41,0.550335,389699943.91,0.850182,0.423481
002466,2014-12-31,,化学原料及化学制品制造业,486317733.82,0.341903,432852624.45,0.449012,53465109.37,0.116641,0.109939
002466,2014-12-31,,其他(补充),15837232.37,0.011134,629748.93,0.000653,15207483.44,0.033177,0.960236
002466,2014-12-31,按产品分类,锂矿,920229042.32,0.646962,530529098.41,0.550335,389699943.91,0.850182,0.423481
002466,2014-12-31,按产品分类,锂盐,486317733.82,0.341903,432852624.45,0.449012,53465109.37,0.116641,0.109939
002466,2014-12-31,按产品分类,其他(补充),15837232.37,0.011134,629748.93,0.000653,15207483.44,0.033177,0.960236
002466,2014-12-31,按地区分类,国内,1118835283.51,0.786592,827284161.24,0.858168,291551122.27,0.636057,0.260584
002466,2014-12-31,按地区分类,国外,287711492.63,0.202274,136097561.62,0.141178,151613931.01,0.330766,0.526965
002466,2014-12-31,按地区分类,其他(补充),15837232.37,0.011134,629748.93,0.000653,15207483.44,0.033177,0.960236
002466,2014-06-30,,矿藏开采及销售,414591100.16,0.640951,261366542.74,0.535184,153224557.42,1.001668,0.36958
002466,2014-06-30,,化学原料及化学制品制造,226305983.26,0.349866,226561077.15,0.463915,-255093.89,-0.001668,-0.001127
002466,2014-06-30,,其他(补充),5939998.96,0.009183,439713.54,0.0009,,,0.925974
002466,2014-06-30,按产品分类,锂精矿,414591100.16,0.640951,261366542.74,0.535184,153224557.42,0.966901,0.36958
002466,2014-06-30,按产品分类,碳酸锂,160341562.16,0.247886,164774523.63,0.337399,-4432961.47,-0.027974,-0.027647
002466,2014-06-30,按产品分类,衍生锂产品及其他,65964421.1,0.10198,61786553.52,0.126517,4177867.58,0.026364,0.063335
002466,2014-06-30,按产品分类,其他(补充),5939998.96,0.009183,439713.54,0.0009,5500285.42,0.034709,0.925974
002466,2014-06-30,按地区分类,国内,558469007.86,0.863384,443492150.02,0.908112,114976857.84,0.725545,0.205879
002466,2014-06-30,按地区分类,国外,82428075.56,0.127433,44435469.87,0.090988,37992605.69,0.239747,0.460918
002466,2014-06-30,按地区分类,其他(补充),5939998.96,0.009183,439713.54,0.0009,5500285.42,0.034709,0.925974
002466,2013-12-31,,化学原料及化学制品制造,413226159.56,0.995783,351205969.5,0.994018,62020190.06,1.0,0.150088
002466,2013-12-31,,其他(补充),1749747.75,0.004217,2113381.47,0.005982,,,-0.207821
002466,2013-12-31,按产品分类,碳酸锂,298817122.46,0.720083,250614184.8,0.709313,48202937.66,0.781797,0.161313
002466,2013-12-31,按产品分类,其他衍生锂产品,103094349.42,0.248435,92881095.66,0.262881,10213253.76,0.165647,0.099067
002466,2013-12-31,按产品分类,其他,11314687.68,0.027266,7710689.04,0.021824,3603998.64,0.058453,0.318524
002466,2013-12-31,按产品分类,其他(补充),1749747.75,0.004217,2113381.47,0.005982,-363633.72,-0.005898,-0.207821
002466,2013-12-31,按地区分类,国内,378409731.79,0.911884,321644730.19,0.910351,56765001.6,0.920664,0.150009
