SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004012001,税项,1049166000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004012002,持续经营业务税后利润,4173212000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004012999,除税后溢利,4173212000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004025001,少数股东损益,-8849000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004025002,股东应占溢利,4182061000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004027002,每股基本盈利,0.17
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004027003,每股摊薄盈利,0.16
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004030997,其他全面收益其他项目,89236000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004030999,其他全面收益,89236000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004039999,全面收益总额,4262448000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004040001,非控股权益应占全面收益总额,-8698000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,4271146000.0
01810.HK,01810,小米集团-W,10932245,2024-03-31 00:00:00,003,12-31,2024-01-01 00:00:00,004099999,非运算项目,-58677105000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004001001,营业额,270970141000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004001999,营运收入,270970141000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004005002,销售成本,213493902000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004007999,毛利,57476239000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010001,其他收入,740091000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010002,其他收益,1742326000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010003,销售及分销费用,19226542000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010004,行政开支,5126798000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010006,重估盈余,3501053000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010010,研发费用,19097699000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004010999,经营溢利,20008670000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011200,利息收入,3558347000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011201,融资成本,1555970000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004011999,除税前溢利,22011047000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012001,税项,4536851000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012002,持续经营业务税后利润,17474196000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004012999,除税后溢利,17474196000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025001,少数股东损益,-977000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004025002,股东应占溢利,17475173000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027002,每股基本盈利,0.7
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004027003,每股摊薄盈利,0.69
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030997,其他全面收益其他项目,1035865000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004030999,其他全面收益,1035865000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004039999,全面收益总额,18510061000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040001,非控股权益应占全面收益总额,2513000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,18507548000.0
01810.HK,01810,小米集团-W,10932245,2023-12-31 00:00:00,001,12-31,2023-01-01 00:00:00,004099999,非运算项目,-213493902000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004001001,营业额,197726454000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004001999,营运收入,197726454000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004005002,销售成本,155864160000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004007999,毛利,41862294000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004010001,其他收入,478344000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004010002,其他收益,328654000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004010003,销售及分销费用,13316887000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004010004,行政开支,3643654000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004010006,重估盈余,2877580000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004010010,研发费用,13634383000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004010999,经营溢利,14951948000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004011200,利息收入,2501012000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004011201,融资成本,1139366000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004011999,除税前溢利,16313594000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004012001,税项,3562860000.0
01810.HK,01810,小米集团-W,10932245,2023-09-30 00:00:00,004,12-31,2023-01-01 00:00:00,004012002,持续经营业务税后利润,12750734000.0
